STATE_NAME	COUNTY_NAME	STATE_FIPS	COUNTY_FIPS	total	totalsd	tot95l	tot95u	five_rank	fifty_rank	ninetyfive_rank	percent	persd	per95l	per95u	adjpercent	adjpersd	adjper95l	adjper95u	lipertot09
Alabama	Macon County	1	87	4939	453	4087	5864	1485	2394	2959	31.4	2.9	26	37.3	31.1	2.9	25.6	37	3
Alabama	Madison County	1	89	60315	3200	54168	66720	772	1186	1635	25.2	1.3	22.7	27.9	24.9	1.3	22.4	27.7	2
Alabama	Marengo County	1	91	5300	320	4670	5928	2438	2865	3064	35.4	2.1	31.2	39.5	34.7	2.1	30.5	39	3
Alabama	Marion County	1	93	7908	687	6551	9267	2100	2841	3100	35.6	3.1	29.5	41.7	34.6	3.1	28.4	40.8	3
Alabama	Marshall County	1	95	20809	1753	17434	24351	1643	2492	2972	32.3	2.7	27.1	37.8	31.6	2.7	26.3	37.1	3
Alabama	Mobile County	1	97	89845	3144	83704	96160	1909	2256	2555	30.6	1.1	28.5	32.7	30.2	1.1	28.1	32.4	6
Alabama	Monroe County	1	99	5132	447	4300	6051	1598	2429	2954	31.8	2.8	26.7	37.5	31.3	2.8	26.2	37	3
Alabama	Montgomery County	1	101	47463	2513	42792	52680	1612	2111	2568	29.6	1.6	26.7	32.8	29.5	1.6	26.6	32.7	3
Alabama	Morgan County	1	103	23313	2018	19528	27390	767	1492	2333	27.2	2.4	22.8	32	26.6	2.3	22.3	31.3	2
Alabama	Perry County	1	105	2489	213	2086	2914	2083	2794	3085	34.5	2.9	28.9	40.4	34	2.9	28.5	39.9	3
Alabama	Pickens County	1	107	4754	426	3948	5610	1787	2634	3042	33.4	3	27.7	39.4	32.6	3	26.9	38.5	3
Alabama	Pike County	1	109	7198	592	6075	8371	1804	2599	3005	32.4	2.7	27.4	37.7	32.3	2.7	27.3	37.6	3
Alabama	Randolph County	1	111	5844	504	4875	6894	2033	2777	3073	34.9	3	29.1	41.1	33.8	3	28.1	40.1	3
Alabama	Russell County	1	113	13696	1153	11503	16023	2469	2988	3124	36.9	3.1	31	43.2	36.5	3.1	30.6	42.8	3
Alabama	St. Clair County	1	115	21472	1590	18412	24666	2272	2868	3085	35.2	2.6	30.2	40.5	34.7	2.6	29.7	40	3
Alabama	Shelby County	1	117	32330	2165	28160	36704	491	889	1421	23.5	1.6	20.4	26.7	23.5	1.6	20.6	26.7	2
Alabama	Sumter County	1	119	3030	256	2538	3531	1789	2597	2999	32.8	2.8	27.5	38.3	32.3	2.8	27	37.6	3
Alabama	Talladega County	1	121	20877	1201	18596	23289	2442	2851	3052	35.1	2	31.3	39.2	34.6	2	30.8	38.6	3
Alabama	Tallapoosa County	1	123	9541	722	8175	11018	1434	2217	2803	30.9	2.3	26.5	35.7	30	2.3	25.6	34.8	3
Alabama	Tuscaloosa County	1	125	38095	1723	34720	41544	1517	1977	2378	28.7	1.3	26.1	31.3	28.8	1.3	26.2	31.4	2
Alabama	Walker County	1	127	19573	1207	17217	21911	2683	3004	3115	37.9	2.3	33.3	42.4	36.9	2.4	32.2	41.5	3
Alabama	Washington County	1	129	4100	404	3322	4920	1560	2550	3028	32.8	3.2	26.5	39.3	32	3.2	25.9	38.4	3
Alabama	Wilcox County	1	131	2925	243	2456	3410	2196	2827	3086	34.7	2.9	29.2	40.5	34.4	2.9	28.8	40.2	3
Alabama	Winston County	1	133	6099	594	4967	7311	1673	2590	3049	33.5	3.3	27.3	40.2	32.4	3.3	26.2	39	3
Alaska	Aleutians East Borough	2	13	681	84	525	857	1065	2181	2941	28.9	3.5	22.3	36.3	29.9	3.5	23.4	37.2	2
Alaska	Aleutians West Census Area	2	16	863	110	659	1091	314	988	1994	22.6	2.9	17.2	28.5	24.1	2.9	18.7	30	2
Alaska	Anchorage Municipality	2	20	44828	2419	40192	49783	446	743	1115	22	1.2	19.7	24.4	22.7	1.2	20.4	25.1	1
Alaska	Bethel Census Area	2	50	2964	233	2522	3432	1221	1981	2635	28.2	2.2	24	32.6	28.9	2.2	24.6	33.3	2
Alaska	Bristol Bay Borough	2	60	166	21	128	210	322	1005	2069	24.2	3.1	18.5	30.6	24.2	3	18.8	30.3	2
Alaska	Denali Borough	2	68	294	45	213	389	109	533	1634	21.2	3.2	15.4	28	21.5	3.1	15.8	28.1	1
Alaska	Dillingham Census Area	2	70	900	95	722	1091	868	1818	2647	27.9	2.9	22.4	33.8	28	2.9	22.5	33.9	2
Alaska	Fairbanks North Star Borough	2	90	16061	787	14528	17644	674	1004	1396	23.1	1.1	20.9	25.4	24.1	1.1	21.9	26.4	2
Alaska	Haines Borough	2	100	383	55	284	498	57	351	1090	20.5	2.9	15.2	26.7	19.9	2.8	14.9	25.6	1
Alaska	Hoonah-Angoon Census Area	2	105	419	55	317	531	327	1072	2231	25.3	3.3	19.2	32	24.6	3.2	18.8	31.2	2
Alaska	Juneau City and Borough	2	110	4052	320	3434	4693	68	191	404	17.7	1.4	15	20.5	18.1	1.4	15.4	20.9	1
Alaska	Kenai Peninsula Borough	2	122	9457	511	8486	10484	480	792	1192	23.6	1.3	21.2	26.1	23	1.3	20.6	25.6	2
Alaska	Ketchikan Gateway Borough	2	130	2647	216	2244	3089	999	1708	2446	28	2.3	23.7	32.7	27.5	2.2	23.4	32	2
Alaska	Kodiak Island Borough	2	150	1880	189	1540	2279	191	528	1174	20.8	2.1	17	25.2	21.4	2.1	17.6	25.8	1
Alaska	Lake and Peninsula Borough	2	164	310	38	240	387	1172	2345	3019	30.6	3.7	23.7	38.2	30.8	3.7	24	38.4	3
Alaska	Matanuska-Susitna Borough	2	170	14787	1193	12574	17228	532	1046	1739	24.1	1.9	20.5	28	24.4	1.9	20.8	28.3	2
Alaska	Nome Census Area	2	180	1421	136	1166	1695	471	1061	1936	23.7	2.3	19.5	28.3	24.5	2.3	20.2	29.1	2
Alaska	North Slope Borough	2	185	1376	133	1125	1649	1847	2697	3067	32.6	3.2	26.7	39.1	33.2	3.1	27.3	39.5	3
Alaska	Northwest Arctic Borough	2	188	1428	133	1179	1691	1741	2595	3018	31.5	2.9	26	37.3	32.3	2.9	26.8	38.1	3
Alaska	Petersburg Census Area	2	195	685	88	520	867	260	868	1978	24	3.1	18.2	30.4	23.5	3	18	29.7	2
Alaska	Prince of Wales-Hyder Census Area	2	198	1006	111	798	1237	410	1052	1994	24.8	2.7	19.7	30.5	24.5	2.6	19.6	30	2
Alaska	Sitka City and Borough	2	220	1268	138	1014	1559	79	293	808	19.5	2.1	15.6	23.9	19.4	2.1	15.6	23.8	1
Alaska	Skagway Municipality	2	230	174	27	125	230	171	820	2156	23.5	3.6	17	31.2	23.3	3.6	16.9	30.9	2
Alaska	Southeast Fairbanks Census Area	2	240	1160	136	903	1439	425	1207	2226	25.3	3	19.7	31.3	25.1	2.9	19.6	31	2
Alaska	Valdez-Cordova Census Area	2	261	1703	158	1408	2026	532	1141	1955	25.1	2.3	20.8	29.9	24.9	2.3	20.7	29.5	2
Alaska	Wade Hampton Census Area	2	270	1182	123	953	1436	1005	1884	2720	27.6	2.9	22.3	33.5	28.5	2.8	23.2	34.4	2
Alaska	Wrangell City and Borough	2	275	424	54	325	535	348	1131	2306	26.3	3.4	20.1	33.2	24.9	3.2	19.1	31.3	2
Alaska	Yakutat City and Borough	2	282	119	17	87	155	185	808	1985	23.5	3.4	17.1	30.5	23.2	3.3	17	30	2
Alaska	Yukon-Koyukuk Census Area	2	290	1052	103	861	1259	639	1438	2346	26.5	2.6	21.7	31.7	26.3	2.5	21.6	31.4	2
Arizona	Apache County	4	1	12609	722	11203	14070	1152	1700	2246	27.8	1.6	24.7	31	27.5	1.6	24.4	30.6	2
Arizona	Cochise County	4	3	22357	1318	19929	24989	369	680	1136	23.7	1.4	21.2	26.5	22.3	1.4	19.7	25.3	2
Arizona	Coconino County	4	5	15015	970	13211	16984	48	120	246	16.6	1.1	14.6	18.8	17	1.1	15	19.1	1
Arizona	Gila County	4	7	9765	632	8577	11040	425	807	1360	25.1	1.6	22	28.3	23.1	1.6	20.1	26.4	2
Arizona	Graham County	4	9	6994	461	6127	7950	1074	1673	2311	27.3	1.8	24	31.1	27.4	1.8	24	31.1	2
Arizona	Greenlee County	4	11	1364	103	1166	1568	622	1192	1847	25.5	1.9	21.8	29.3	25	1.9	21.4	28.8	2
Arizona	La Paz County	4	12	5364	289	4800	5942	1821	2416	2849	33.8	1.8	30.3	37.5	31.2	2	27.3	35.1	3
Arizona	Maricopa County	4	13	542063	21457	501163	584339	182	289	425	19.2	0.8	17.7	20.7	19.3	0.8	17.8	20.8	7
Arizona	Mohave County	4	15	45068	1995	41280	48998	1291	1801	2301	30.4	1.3	27.9	33.1	27.9	1.5	25.2	30.9	3
Arizona	Navajo County	4	17	18982	1192	16696	21379	672	1170	1737	25.4	1.6	22.4	28.6	24.9	1.6	21.8	28.1	2
Arizona	Pima County	4	19	149338	6991	136120	162963	177	303	486	19.8	0.9	18.1	21.7	19.4	1	17.5	21.3	4
Arizona	Pinal County	4	21	58033	3141	52097	64380	552	901	1342	23.9	1.3	21.4	26.5	23.6	1.3	21.1	26.2	2
Arizona	Santa Cruz County	4	23	4992	487	4078	6012	27	107	342	17.6	1.7	14.3	21.1	16.8	1.7	13.6	20.3	1
Arizona	Yavapai County	4	25	35352	2076	31320	39506	132	281	533	20.9	1.2	18.6	23.4	19.1	1.3	16.7	21.9	1
Arizona	Yuma County	4	27	32546	1899	28868	36274	485	837	1330	24.4	1.4	21.6	27.2	23.2	1.5	20.4	26.2	2
Arkansas	Arkansas County	5	1	5141	455	4287	6068	2317	2921	3118	36.9	3.3	30.8	43.6	35.6	3.2	29.6	42.1	3
Arkansas	Ashley County	5	3	6146	554	5101	7280	2514	3029	3136	38.5	3.5	32	45.7	37.4	3.5	30.9	44.5	3
Arkansas	Baxter County	5	5	11112	909	9421	12962	1398	2259	2884	33	2.7	28	38.5	30.3	2.7	25.1	35.8	3
Arkansas	Benton County	5	7	44350	2104	40466	48613	1340	1776	2240	28	1.3	25.5	30.6	27.9	1.3	25.4	30.5	2
Arkansas	Boone County	5	9	8754	756	7288	10238	1412	2303	2898	31.8	2.7	26.5	37.2	30.5	2.8	25.1	36.1	3
Arkansas	Bradley County	5	11	2888	331	2263	3582	1411	2520	3066	33.1	3.8	26	41.1	32	3.8	24.9	39.8	3
Arkansas	Calhoun County	5	13	1447	165	1137	1785	1928	2888	3129	36.8	4.2	28.9	45.4	35.2	4.1	27.5	43.8	3
Arkansas	Carroll County	5	15	5883	635	4703	7213	625	1522	2520	27.9	3	22.3	34.2	26.8	3	21.2	33	2
Arkansas	Chicot County	5	17	3152	277	2621	3701	2196	2884	3105	36.4	3.2	30.3	42.7	35.1	3.2	29	41.4	3
Arkansas	Clark County	5	19	5290	551	4248	6377	1275	2311	2965	30.9	3.2	24.8	37.2	30.6	3.2	24.5	36.9	3
Arkansas	Clay County	5	21	4079	457	3223	4997	1497	2621	3087	34.4	3.9	27.2	42.2	32.6	3.9	25.4	40.5	3
Arkansas	Cleburne County	5	23	6436	680	5174	7793	1141	2267	2975	32.4	3.4	26	39.2	30.4	3.5	24	37.4	3
Arkansas	Cleveland County	5	25	1770	219	1367	2221	640	1703	2713	28.5	3.5	22	35.7	27.6	3.5	21.2	34.7	2
Arkansas	Columbia County	5	27	5174	530	4216	6289	1037	2014	2821	29.7	3	24.2	36.1	29	3	23.5	35.4	3
Arkansas	Conway County	5	29	4584	486	3644	5564	976	2036	2855	30.1	3.2	23.9	36.5	29.1	3.2	23.1	35.6	3
Arkansas	Craighead County	5	31	22099	1652	18888	25374	1837	2561	2963	32	2.4	27.4	36.8	32	2.4	27.4	36.8	3
Arkansas	Crawford County	5	33	12790	1204	10507	15174	1181	2067	2801	30	2.8	24.6	35.6	29.3	2.8	24	34.9	3
Arkansas	Crittenden County	5	35	12004	769	10512	13510	2118	2697	2992	33.3	2.1	29.2	37.5	33.1	2.1	29	37.2	3
Arkansas	Cross County	5	37	4811	490	3887	5801	2073	2877	3118	36	3.7	29.1	43.4	35	3.6	28.1	42.2	3
Arkansas	Dallas County	5	39	1998	223	1575	2454	1581	2642	3081	34.2	3.8	26.9	42	32.8	3.7	25.9	40.4	3
Arkansas	Desha County	5	41	3119	305	2538	3735	1540	2510	3016	32.7	3.2	26.6	39.2	31.8	3.1	25.8	38.2	3
Arkansas	Drew County	5	43	4492	494	3556	5509	1640	2663	3087	33.4	3.7	26.4	40.9	32.8	3.6	26	40.4	3
Arkansas	Faulkner County	5	45	21809	1768	18504	25390	1186	1953	2653	28.4	2.3	24.1	33.1	28.8	2.3	24.5	33.4	2
Arkansas	Franklin County	5	47	4043	503	3109	5076	887	2094	2937	30.7	3.8	23.6	38.6	29.5	3.8	22.6	37.2	3
Arkansas	Fulton County	5	49	2708	340	2090	3430	690	1809	2847	30.2	3.8	23.3	38.2	28.1	3.7	21.4	35.9	3
Arkansas	Garland County	5	51	21259	1444	18491	24104	882	1514	2205	28.1	1.9	24.5	31.9	26.7	2	22.9	30.6	2
Arkansas	Grant County	5	53	4449	511	3467	5507	1548	2681	3097	33.9	3.9	26.4	41.9	33.1	3.8	25.7	41.2	3
Arkansas	Greene County	5	55	8215	869	6563	10037	669	1565	2555	27.6	2.9	22	33.7	27	2.9	21.5	33	2
Arkansas	Hempstead County	5	57	5334	537	4354	6433	1482	2469	3009	32.2	3.2	26.3	38.9	31.6	3.2	25.7	38.2	3
Arkansas	Hot Spring County	5	59	8287	755	6851	9839	1973	2775	3089	34.9	3.2	28.9	41.4	33.9	3.2	27.9	40.4	3
Arkansas	Howard County	5	61	3436	376	2734	4194	1604	2641	3079	33.6	3.7	26.8	41	32.8	3.6	26.1	40.2	3
Arkansas	Independence County	5	63	8504	803	6943	10085	1651	2605	3038	33.4	3.2	27.3	39.7	32.3	3.2	26.3	38.6	3
Arkansas	Izard County	5	65	3268	383	2550	4057	1062	2258	3002	32.1	3.8	25	39.8	30.3	3.7	23.3	38.1	3
Arkansas	Jackson County	5	67	4528	467	3641	5481	2203	2944	3128	36.5	3.8	29.4	44.2	35.8	3.7	28.8	43.4	3
Arkansas	Jefferson County	5	69	19623	1109	17485	21829	2352	2797	3027	34.5	1.9	30.7	38.4	34	2	30.2	37.9	3
Arkansas	Johnson County	5	71	5628	603	4488	6862	1231	2339	2984	31.3	3.4	25	38.2	30.7	3.3	24.4	37.6	3
Arkansas	Lafayette County	5	73	1907	219	1498	2370	1399	2502	3063	33.3	3.8	26.1	41.4	31.9	3.7	25	39.7	3
Arkansas	Lawrence County	5	75	4231	492	3334	5252	1453	2598	3088	33.8	3.9	26.6	41.9	32.4	3.9	25.3	40.7	3
Arkansas	Lee County	5	77	2951	245	2482	3462	2552	3015	3131	37.6	3.1	31.6	44.1	37.1	3.1	31.2	43.7	3
Arkansas	Lincoln County	5	79	3298	384	2601	4091	1270	2423	3036	31.2	3.6	24.6	38.7	31.2	3.6	24.6	38.8	3
Arkansas	Little River County	5	81	3132	331	2489	3803	1321	2391	2989	32.1	3.4	25.5	39	31	3.3	24.5	37.9	3
Arkansas	Logan County	5	83	5164	561	4116	6325	1135	2244	2959	31.5	3.4	25.1	38.5	30.2	3.4	23.8	37.2	3
Arkansas	Lonoke County	5	85	14557	1321	12057	17192	1459	2374	2928	31	2.8	25.7	36.6	30.8	2.8	25.5	36.4	3
Arkansas	Madison County	5	87	3481	422	2695	4327	732	1809	2819	29.6	3.6	22.9	36.8	28.2	3.5	21.7	35.4	3
Arkansas	Marion County	5	89	3728	440	2899	4626	438	1354	2446	28.1	3.3	21.9	34.9	25.9	3.3	19.8	32.5	2
Arkansas	Miller County	5	91	11459	927	9685	13372	2308	2893	3099	35.7	2.9	30.2	41.7	35	2.9	29.5	40.9	3
Arkansas	Mississippi County	5	93	13698	921	11947	15494	3026	3127	3142	42.7	2.9	37.2	48.2	42	2.9	36.6	47.5	3
Arkansas	Monroe County	5	95	2241	236	1788	2721	2051	2890	3123	37.1	3.9	29.6	45	35.2	3.8	27.9	42.9	3
Arkansas	Montgomery County	5	97	1998	253	1522	2517	563	1581	2729	28.9	3.7	22	36.5	27	3.6	20.3	34.4	2
Arkansas	Nevada County	5	99	2363	264	1861	2923	1739	2756	3109	34.9	3.9	27.5	43.2	33.6	3.8	26.3	41.7	3
Arkansas	Newton County	5	101	2112	244	1650	2604	1286	2445	3044	33.3	3.9	26	41.1	31.5	3.8	24.3	39.2	3
Arkansas	Ouachita County	5	103	6686	499	5735	7714	2209	2799	3066	35.6	2.7	30.5	41	34.1	2.6	29.1	39.5	3
Arkansas	Perry County	5	105	2614	315	2015	3265	1513	2673	3102	34.2	4.1	26.4	42.7	33.1	4.1	25.3	41.6	3
Arkansas	Phillips County	5	107	5496	350	4837	6193	2783	3047	3126	39	2.5	34.3	43.9	37.8	2.5	33.1	42.7	3
Arkansas	Pike County	5	109	2309	298	1755	2907	568	1712	2787	28.9	3.7	21.9	36.3	27.6	3.7	20.7	35	2
Arkansas	Poinsett County	5	111	6812	668	5562	8163	2468	3022	3136	38.3	3.8	31.3	45.9	37.3	3.8	30.3	45	3
Arkansas	Polk County	5	113	4842	486	3885	5821	1290	2366	2968	32.4	3.3	26	38.9	30.9	3.2	24.6	37.4	3
Arkansas	Pope County	5	115	11140	1033	9180	13271	552	1221	2106	25.7	2.4	21.2	30.6	25.3	2.4	20.8	30.2	2
Arkansas	Prairie County	5	117	2106	267	1608	2646	967	2245	2996	31.7	4	24.2	39.9	30.2	3.9	22.9	38.3	3
Arkansas	Pulaski County	5	119	80362	2951	74702	86289	1577	1945	2285	28.9	1.1	26.9	31.1	28.6	1.1	26.5	30.8	5
Arkansas	Randolph County	5	121	4403	484	3515	5381	1375	2485	3051	33.1	3.6	26.4	40.4	31.7	3.6	25.1	39.1	3
Arkansas	St. Francis County	5	123	7612	583	6499	8788	2879	3097	3140	40.5	3.1	34.6	46.7	39.8	3.1	33.9	46.1	3
Arkansas	Saline County	5	125	18702	1466	15913	21613	617	1198	1903	25.5	2	21.7	29.5	25.1	2	21.3	29.1	2
Arkansas	Scott County	5	127	2675	331	2052	3338	1277	2559	3081	33.2	4.1	25.5	41.5	32	4.1	24.4	40.3	3
Arkansas	Searcy County	5	129	2082	270	1577	2643	1181	2488	3083	33.8	4.4	25.6	42.9	31.9	4.3	23.7	40.7	3
Arkansas	Sebastian County	5	131	30326	1993	26556	34314	2281	2774	3034	34.4	2.3	30.1	38.9	33.9	2.3	29.6	38.4	3
Arkansas	Sevier County	5	133	3734	350	3075	4438	1739	2628	3047	33	3.1	27.2	39.2	32.7	3.1	26.8	38.9	3
Arkansas	Sharp County	5	135	4615	497	3680	5619	1442	2537	3067	34.1	3.7	27.2	41.5	32.1	3.7	25.2	39.7	3
Arkansas	Stone County	5	137	3393	356	2713	4109	1797	2782	3107	36.2	3.8	29	43.9	33.9	3.8	26.7	41.5	3
Arkansas	Union County	5	139	8785	779	7292	10362	840	1648	2477	28.1	2.5	23.4	33.2	27.3	2.5	22.6	32.3	2
Arkansas	Van Buren County	5	141	4439	452	3575	5356	1657	2684	3083	35.1	3.6	28.2	42.3	33	3.6	26.2	40.2	3
Arkansas	Washington County	5	143	34509	1961	30781	38504	761	1165	1660	24.4	1.4	21.8	27.2	24.9	1.4	22.3	27.7	2
Arkansas	White County	5	145	15546	1306	13122	18165	1003	1748	2534	28.3	2.4	23.9	33.1	27.8	2.4	23.3	32.6	2
Arkansas	Woodruff County	5	147	1951	231	1525	2439	1687	2771	3116	35.4	4.2	27.7	44.3	33.8	4.1	26.3	42.5	3
Arkansas	Yell County	5	149	4674	469	3799	5609	995	1937	2750	29.4	3	23.9	35.3	28.7	2.9	23.2	34.6	2
California	Alameda County	6	1	183060	9020	166007	201099	52	103	186	16.5	0.8	14.9	18.1	16.6	0.8	15.1	18.3	4
California	Alpine County	6	3	158	26	112	213	36	281	1081	19.9	3.2	14	26.8	19.4	3.1	13.9	25.9	1
California	Amador County	6	5	5410	726	4036	6952	16	97	428	17.7	2.4	13.2	22.8	16.6	2.2	12.4	21.4	1
California	Butte County	6	7	27437	2406	22915	32343	26	85	246	16.8	1.5	14	19.7	16.3	1.5	13.6	19.2	1
California	Calaveras County	6	9	7667	954	5903	9643	50	288	862	20.9	2.6	16.1	26.3	19.3	2.5	14.8	24.4	1
California	Colusa County	6	11	2471	395	1736	3279	13	130	623	17.5	2.8	12.3	23.2	17.2	2.8	12.1	22.8	1
California	Contra Costa County	6	13	132466	6729	119502	145454	66	141	244	17.6	0.9	15.8	19.3	17.3	0.9	15.6	19	4
California	Del Norte County	6	15	4048	586	2998	5280	27	182	756	18.4	2.7	13.6	24	18.1	2.6	13.4	23.6	1
California	El Dorado County	6	17	19205	1908	15670	23101	8	27	97	14.6	1.4	11.9	17.5	14.1	1.4	11.5	17	1
California	Fresno County	6	19	127155	7562	112848	142580	274	483	813	20.8	1.2	18.5	23.4	21	1.2	18.7	23.5	4
California	Glenn County	6	21	3662	532	2718	4776	31	219	851	18.9	2.8	14.1	24.7	18.6	2.7	13.8	24.2	1
California	Humboldt County	6	23	18950	1674	15805	22412	89	258	598	19.3	1.7	16.1	22.8	19	1.7	15.8	22.5	1
California	Imperial County	6	25	24768	2892	19599	30883	232	712	1627	22.5	2.6	17.8	28.1	22.6	2.6	17.9	28.1	2
California	Inyo County	6	27	2270	322	1673	2944	15	103	454	17.5	2.5	12.9	22.7	16.7	2.3	12.4	21.6	1
California	Kern County	6	29	124672	7398	110888	139619	563	929	1414	23.5	1.4	20.9	26.3	23.8	1.4	21.2	26.6	5
California	Kings County	6	31	22088	2602	17421	27692	217	673	1599	21.5	2.5	16.9	26.9	22.4	2.6	17.8	27.9	1
