prediction,qbaked,qduck,qhungry,qcasserole,qscallops,qlasagna,qhotdog,qfries,qsoy,qgreen,qturkey,qgrits,qhealthy,qcranberries,qfruit,qcook,qbrunch,qwatercress,qsupper,qtoast,qmeat,qhot,qpotato,qolive,qdiner,feedback,heightcm,weightkg,lat,lng,comments,gender,age
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,185,86,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,163,48,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,82,32.22,-110.93,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,185,78,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,2,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,168,54,32.22,-110.82,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,191,91,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,170,52,33.29,-112.04,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,183,75,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,193,79,32.25,-110.92,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,88,32.27,-110.99,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,160,61,32.26,-111.12,"At first, I couldn't quite tell whether the BMI number being presented was my BMI or the median BMI, so it was a bit unclear how I should answer the question.",NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,173,86,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,183,70,32.26,-111.12,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,185,68,NA,NA,,NA,NA
0,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,183,77,32.25,-110.94,,NA,NA
0,0,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,66,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,175,84,32.22,-110.93,"Who the fuck eats watercress, this is America not Asia",NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,173,68,32.25,-110.94,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,183,73,32.25,-110.94,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,2,NA,NA,NA,NA,1,NA,NA,NA,0,2,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,180,88,NA,NA,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,170,59,32.25,-110.94,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,0,165,54,33.25,-111.53,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,0,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,180,59,NA,NA,:~),NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,82,32.25,-110.94,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,2,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,175,75,32.25,-110.94,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,160,53,32.25,-110.94,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,183,88,32.22,-110.93,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,84,32.22,-110.93,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,180,75,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,180,70,49.01,8.4,,NA,NA
0,1,NA,NA,NA,NA,0,0,1,2,2,0,0,1,0,2,2,0,0,0,1,NA,NA,1,NA,NA,0,NA,NA,32.27,-110.99,,male,27
0,1,NA,0,0,NA,0,0,0,1,1,1,NA,NA,NA,1,2,NA,0,0,2,NA,NA,1,NA,NA,1,NA,NA,32.22,-110.82,,male,27
0,1,NA,1,1,NA,0,0,0,0,1,1,NA,NA,NA,2,1,0,0,0,0,NA,NA,2,NA,NA,NA,NA,NA,32.25,-110.94,,female,28
0,1,NA,NA,NA,NA,0,1,1,1,2,1,NA,NA,1,2,2,1,0,0,1,NA,NA,1,NA,NA,0,NA,NA,32.25,-110.94,,female,24
0,1,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,1,2,2,2,0,0,1,NA,NA,1,NA,NA,1,NA,NA,37.81,-122.27,I said I don't use the word &quot;supper&quot; but I was tempted to say yes because I talk about &quot;dinner&quot; all the time ...,female,31
0,1,NA,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,1,2,2,0,1,0,0,NA,NA,1,NA,NA,1,NA,NA,36.1,-79.44,,female,24
0,1,NA,NA,NA,NA,0,0,1,1,2,1,NA,NA,1,2,2,1,0,0,0,NA,NA,1,NA,NA,1,NA,NA,39.08,-86.44,,female,28
0,1,NA,1,0,NA,0,0,1,2,2,1,NA,NA,1,2,2,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,32.34,-110.93,,female,62
0,1,NA,NA,NA,NA,1,NA,NA,1,2,0,0,1,1,1,2,NA,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,female,30
0,1,NA,2,NA,NA,0,0,0,1,1,0,0,1,NA,1,2,NA,0,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,,female,27
0,2,1,1,0,NA,0,1,1,NA,2,1,NA,NA,1,2,1,1,0,2,NA,NA,NA,2,NA,NA,1,NA,NA,37.45,-122.18,,female,23
1,1,NA,0,0,NA,NA,NA,NA,1,1,0,0,2,NA,2,2,0,0,0,0,NA,NA,0,1,NA,0,NA,NA,NA,NA,,male,27
0,1,NA,NA,NA,NA,0,0,1,1,2,1,NA,NA,0,1,2,NA,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,male,27
0,1,NA,NA,NA,NA,0,0,1,1,2,0,0,2,0,2,2,1,0,0,1,NA,NA,1,NA,NA,1,NA,NA,32.22,-110.93,,female,31
0,1,NA,NA,NA,NA,1,NA,NA,1,2,0,0,0,0,2,1,0,0,0,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,,NA,NA
0,2,1,1,1,NA,0,1,0,NA,2,2,NA,NA,0,0,2,NA,0,1,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,,female,27
0,1,NA,0,0,NA,0,0,1,0,1,1,NA,NA,NA,1,1,NA,0,0,0,NA,NA,0,0,1,0,NA,NA,32.25,-110.94,,male,25
0,1,NA,NA,NA,NA,0,0,2,2,2,0,1,1,0,2,2,0,0,0,1,NA,NA,1,NA,NA,1,NA,NA,32.25,-110.94,,female,24
0,1,NA,NA,NA,NA,0,1,0,1,2,1,NA,NA,1,1,1,NA,1,0,1,NA,NA,0,0,0,0,NA,NA,40.71,-111.85,,female,24
0,1,NA,NA,NA,NA,0,0,1,2,2,0,0,2,1,1,2,NA,1,0,2,NA,NA,0,2,NA,0,NA,NA,37.84,-122.28,,female,28
1,1,NA,NA,NA,NA,0,0,1,1,2,0,0,0,1,2,2,0,0,0,1,NA,NA,2,NA,NA,0,NA,NA,NA,NA,,female,52
0,1,NA,NA,NA,NA,0,0,0,0,2,0,0,1,0,1,1,NA,0,0,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,male,25
0,1,NA,NA,NA,NA,0,0,1,0,2,2,NA,NA,0,2,1,1,1,0,0,NA,NA,0,1,NA,1,NA,NA,NA,NA,,female,24
0,2,0,2,NA,NA,0,0,1,NA,1,0,0,0,NA,1,2,NA,0,0,2,NA,NA,1,NA,NA,1,NA,NA,47.74,-122.34,,other,25
1,1,NA,1,0,NA,0,0,1,1,1,0,2,NA,NA,2,1,2,0,0,0,NA,NA,2,NA,NA,0,NA,NA,37.89,-122.3,,female,27
0,0,NA,0,1,NA,1,NA,NA,1,1,1,NA,NA,NA,1,2,NA,1,0,0,NA,NA,0,1,NA,1,NA,NA,37.41,-79.14,,male,25
0,1,NA,1,0,NA,0,0,2,0,1,0,0,1,NA,1,1,NA,0,1,NA,NA,NA,2,NA,NA,0,NA,NA,34.21,-118.4,,female,23
0,1,NA,NA,NA,NA,1,NA,NA,2,2,0,0,2,1,2,2,0,1,0,2,NA,NA,1,NA,NA,0,NA,NA,42.92,-78.89,,female,35
0,1,NA,NA,NA,NA,0,1,1,1,2,1,NA,NA,0,1,2,NA,0,0,2,NA,NA,0,1,NA,1,NA,NA,NA,NA,,female,30
0,1,NA,NA,NA,NA,0,0,2,2,2,0,0,2,0,2,1,0,0,0,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,female,26
0,1,NA,2,NA,NA,0,0,1,0,1,2,NA,NA,NA,2,2,1,0,0,2,NA,NA,1,NA,NA,1,NA,NA,33.14,-117.32,,female,24
0,1,NA,1,0,NA,0,0,2,0,1,1,NA,NA,NA,1,1,NA,0,2,NA,NA,NA,1,NA,NA,1,NA,NA,32.21,-110.97,,female,25
0,1,NA,NA,NA,NA,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,39.97,-104.81,,female,25
0,0,NA,2,NA,NA,0,0,1,1,1,1,NA,NA,NA,2,1,0,0,0,1,NA,NA,2,NA,NA,0,NA,NA,37.81,-122.27,,male,33
1,1,NA,NA,NA,NA,0,0,0,2,2,0,0,1,0,2,2,0,0,0,1,NA,NA,0,2,NA,0,NA,NA,NA,NA,,female,42
0,1,NA,NA,NA,NA,0,0,1,1,2,1,NA,NA,0,1,1,NA,0,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,,female,31
0,2,0,2,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,2,1,1,0,0,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,NA,NA
0,1,NA,1,0,NA,0,0,0,1,2,2,NA,NA,1,2,2,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,male,58
0,1,NA,1,0,NA,1,NA,NA,0,2,1,NA,NA,1,2,2,1,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,33.57,-117.73,,female,24
0,1,NA,1,1,NA,0,0,0,0,1,0,0,2,NA,2,1,0,0,0,1,NA,NA,1,NA,NA,1,NA,NA,52.16,4.5,,female,36
0,1,NA,NA,NA,NA,0,0,1,2,2,1,NA,NA,0,2,1,1,2,NA,NA,NA,NA,0,1,NA,0,NA,NA,34.08,-118.26,"I eat a pretty strict organic and gluten free diet due to celiac, cook most of my meals from scratch and with whole vegetables, snack on fruits, but am pre-diabetic, yet exercise daily. I'm still pretty damn fat, tho, but I can run a mile. Go figure.",female,32
0,1,NA,NA,NA,NA,1,NA,NA,2,2,0,0,2,1,2,2,0,0,0,2,NA,NA,2,NA,NA,1,NA,NA,32.22,-110.93,,female,21
0,1,NA,NA,NA,NA,1,NA,NA,1,2,0,1,1,0,1,2,NA,0,0,2,NA,NA,1,NA,NA,1,NA,NA,-37.81,144.96,,male,48
0,1,NA,NA,NA,NA,0,1,1,2,2,0,1,1,1,2,2,0,0,0,2,NA,NA,1,NA,NA,1,NA,NA,32.34,-110.93,,male,38
0,1,NA,1,0,NA,1,NA,NA,0,2,1,NA,NA,0,2,2,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,female,29
1,1,NA,NA,NA,NA,0,0,1,0,2,0,0,1,1,2,2,0,2,NA,NA,NA,NA,2,NA,NA,0,NA,NA,45.42,-75.7,,female,32
0,1,NA,NA,NA,NA,1,NA,NA,0,2,1,NA,NA,1,2,1,1,0,0,2,NA,NA,1,NA,NA,1,NA,NA,39.97,-75.17,,female,29
0,1,NA,NA,NA,NA,1,NA,NA,2,2,0,1,2,1,2,2,0,1,0,1,NA,NA,2,NA,NA,1,NA,NA,39.96,-83,,female,27
0,1,NA,2,NA,NA,0,0,1,2,2,0,0,1,1,2,2,0,0,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,,female,27
0,1,NA,0,0,NA,1,NA,NA,0,2,0,0,1,0,0,2,NA,0,1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,,female,27
0,1,NA,2,NA,NA,0,0,0,0,2,1,NA,NA,1,1,2,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,32.21,-110.97,,female,39
0,1,NA,0,1,NA,1,NA,NA,0,2,1,NA,NA,0,2,1,0,0,1,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,,male,29
0,1,NA,NA,NA,NA,0,0,1,2,2,1,NA,NA,0,2,2,0,1,0,1,NA,NA,2,NA,NA,1,NA,NA,32.23,-110.95,,female,23
0,1,NA,1,0,NA,0,0,2,0,1,1,NA,NA,NA,1,2,NA,1,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,"my bmi is high, but i'm not convinced that i'm obese. interesting survey nonetheless.",male,31
0,1,NA,NA,NA,NA,1,NA,NA,1,2,0,0,2,0,2,1,1,1,0,1,NA,NA,1,NA,NA,1,152,49,39.29,-76.59,,female,26
0,1,NA,NA,NA,NA,0,0,1,2,2,0,0,2,1,2,2,0,1,0,1,NA,NA,1,NA,NA,1,172,63,NA,NA,,female,36
0,1,NA,1,0,NA,0,0,0,1,2,0,0,2,0,2,2,0,1,1,NA,NA,NA,0,0,0,1,160,49,-12.05,-77.04,,female,31
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,1,NA,2,NA,NA,1,NA,NA,1,2,1,NA,NA,1,2,2,0,1,1,NA,NA,NA,2,NA,NA,1,160,56,48.42,-123.35,,female,28
0,1,NA,NA,NA,NA,0,0,0,0,2,1,NA,NA,1,2,2,0,1,0,1,NA,NA,1,NA,NA,0,172,99,NA,NA,,female,61
0,1,NA,1,1,NA,0,0,1,2,2,2,NA,NA,0,2,2,1,0,1,NA,NA,NA,1,NA,NA,1,170,79,32.72,-117.16,,female,26
1,0,NA,NA,NA,NA,0,0,0,0,2,1,NA,NA,1,2,2,0,1,0,0,NA,NA,0,2,NA,1,10,72,32.25,-110.94,,female,52
0,2,0,1,0,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,0,0,1,2,NA,NA,NA,NA,1,187,99,32.25,-110.94,,male,29
1,1,NA,NA,NA,NA,0,0,1,1,2,0,0,1,1,2,1,0,1,0,1,NA,NA,1,NA,NA,0,180,68,51.51,-0.13,,male,39
0,1,NA,NA,NA,NA,0,0,0,0,2,1,NA,NA,1,1,2,NA,0,0,0,NA,NA,1,NA,NA,1,182,95,39.21,-77.54,,male,28
0,1,NA,0,0,NA,0,0,0,0,2,1,NA,NA,1,2,2,0,0,1,NA,NA,NA,1,NA,NA,0,182,113,40.9,-80.88,,female,21
0,1,NA,NA,NA,NA,0,0,1,1,2,0,0,1,0,1,2,NA,0,0,1,NA,NA,1,NA,NA,1,167,61,55.68,12.57,,female,30
0,1,NA,NA,NA,NA,0,0,0,1,2,1,NA,NA,0,2,2,1,0,0,0,NA,NA,1,NA,NA,1,167,65,42.03,-93.59,,female,22
0,2,0,NA,NA,NA,0,1,2,NA,2,1,NA,NA,1,1,1,NA,0,0,2,NA,NA,2,NA,NA,1,182,95,40.59,-80.44,,male,38
0,1,NA,NA,NA,NA,1,NA,NA,1,2,0,0,1,1,2,1,0,2,NA,NA,NA,NA,1,NA,NA,1,185,66,50.11,8.68,,male,21
1,1,NA,1,1,NA,0,0,1,0,1,0,1,0,NA,1,2,NA,1,0,0,NA,NA,2,NA,NA,0,167,64,NA,NA,,male,19
0,1,NA,NA,NA,NA,1,NA,NA,0,2,1,NA,NA,1,2,2,0,0,0,2,NA,NA,1,NA,NA,1,165,49,40.76,-111.89,,male,17
0,1,NA,0,1,NA,0,0,0,0,2,1,NA,NA,0,2,1,0,0,1,NA,NA,NA,1,NA,NA,0,170,92,45.42,-75.7,,female,34
0,1,NA,NA,NA,NA,1,NA,NA,2,2,0,0,1,0,2,2,0,0,0,1,NA,NA,2,NA,NA,1,160,49,NA,NA,It guessed 28 and my actual BMI is about 19... yet it said it was correct. This may need some tweaking.,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,0,2,1,0,0,0,0,NA,NA,1,NA,NA,1,182,77,NA,NA,,male,21
0,1,NA,1,2,0,1,NA,NA,0,1,1,NA,NA,NA,1,2,NA,0,2,NA,NA,NA,2,NA,NA,0,175,115,NA,NA,,male,32
0,1,NA,1,0,NA,1,NA,NA,0,0,1,NA,NA,NA,2,1,0,0,0,1,NA,NA,2,NA,NA,0,162,88,41.37,-82.11,,female,22
0,1,NA,2,NA,NA,1,NA,NA,0,1,0,0,1,NA,1,2,NA,0,2,NA,NA,NA,1,NA,NA,1,175,65,51.45,-2.59,,male,26
0,1,NA,1,0,NA,1,NA,NA,0,0,0,0,0,NA,1,0,NA,0,0,0,0,2,NA,NA,NA,1,185,75,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,1,1,0,2,1,NA,NA,2,2,1,1,1,0,2,NA,NA,1,NA,NA,1,160,49,33.94,-83.43,"&quot;Great, it looks like our prediction was right! As of now, our system has an accuracy of 75.8%.&quot; rnrnHow is your prediction correct? You predicted my BMI at *28.9*, which is extremely overweight, heading into obese territory, and my actual BMI is around 19...",female,27
0,1,NA,1,0,NA,0,0,1,2,2,1,NA,NA,0,2,2,1,0,1,NA,NA,NA,2,NA,NA,1,160,70,32.78,-96.8,,female,30
0,1,NA,1,0,NA,0,0,0,0,2,1,NA,NA,0,1,2,NA,0,1,NA,NA,NA,1,NA,NA,1,182,95,NA,NA,,male,32
0,2,0,NA,NA,NA,0,0,1,NA,2,1,NA,NA,0,2,2,0,0,0,1,NA,NA,1,NA,NA,1,175,83,40.8,-77.9,,female,28
0,1,NA,1,1,NA,0,0,1,0,1,1,NA,NA,NA,2,1,0,1,0,0,NA,NA,1,NA,NA,1,179,60,46.23,2.21,,male,26
0,1,NA,2,NA,NA,0,0,1,2,1,0,0,0,NA,1,2,NA,0,0,1,NA,NA,1,NA,NA,1,172,61,41.13,-81.35,,female,28
0,1,NA,NA,NA,NA,0,1,1,1,2,1,NA,NA,0,2,1,1,0,0,1,NA,NA,1,NA,NA,1,172,63,45.64,-122.66,,male,21
0,1,NA,0,0,NA,0,0,1,2,1,0,0,1,NA,2,2,0,0,0,2,NA,NA,1,NA,NA,1,185,77,55.68,12.57,,male,33
0,1,NA,2,NA,NA,0,0,1,0,0,0,0,0,NA,0,1,NA,0,0,1,NA,NA,0,0,0,1,172,54,55.38,-3.44,,female,23
0,1,NA,2,NA,NA,0,0,2,0,1,1,NA,NA,NA,2,1,0,0,0,0,NA,NA,2,NA,NA,0,165,95,NA,NA,,female,24
0,1,NA,2,NA,NA,1,NA,NA,0,1,0,0,1,NA,1,2,NA,0,0,0,NA,NA,1,NA,NA,1,162,63,NA,NA,,female,17
0,1,NA,NA,NA,NA,0,0,0,1,2,1,NA,NA,0,1,2,NA,0,0,0,NA,NA,1,NA,NA,1,162,64,NA,NA,,female,39
0,1,NA,0,1,NA,0,1,1,0,0,1,NA,NA,NA,0,2,NA,0,0,0,NA,NA,1,NA,NA,0,170,95,NA,NA,,NA,NA
0,1,NA,0,1,NA,0,0,0,0,1,2,NA,NA,NA,2,2,1,0,0,1,NA,NA,1,NA,NA,1,160,58,37.31,-122.07,,female,25
1,2,0,NA,NA,NA,0,0,1,NA,2,0,0,0,1,2,1,0,0,0,1,NA,NA,1,NA,NA,0,182,83,40.01,-76.33,I'm a vegetarian. Not sure if that's what stumped the test or not.,male,24
0,1,NA,1,0,NA,0,1,2,0,0,1,NA,NA,NA,2,1,0,0,0,1,NA,NA,1,NA,NA,0,162,78,34.83,-87.65,,female,20
0,1,NA,NA,NA,NA,0,0,2,0,2,1,NA,NA,0,2,0,0,1,0,1,0,0,NA,NA,NA,0,182,138,51.05,3.72,,male,47
0,1,NA,2,NA,NA,0,0,0,1,1,0,0,0,NA,0,2,NA,0,1,NA,NA,NA,2,NA,NA,0,182,128,42.25,-71,lacto-ovo-vegetarian,male,34
0,1,NA,2,NA,NA,0,1,2,1,1,2,NA,NA,NA,1,0,NA,0,1,NA,0,1,NA,NA,NA,0,182,113,33.88,-84.51,,male,29
0,1,NA,NA,NA,NA,0,0,2,1,2,0,0,1,2,1,1,NA,0,0,1,NA,NA,2,NA,NA,1,170,70,NA,NA,,female,25
0,1,NA,NA,NA,NA,1,NA,NA,1,2,2,NA,NA,0,1,2,NA,0,0,0,NA,NA,0,1,NA,1,157,71,39.82,-105.07,,female,32
